Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Small Business,Germany, Montana , Medium ,"$1,342.21",$9.64,$68.76,"$59,044.55",$-,"$15,217.06","$28,990.24","$15,269.78",06/01/2015,7,March,2014
Channel Partners,France, Montana , Medium ,"$1,866.24",$6.14,$64.76,"$25,519.81",$-,"$29,414.77","$18,521.47","$20,772.19",06/01/2014,9,July,2014
Government,Germany, VTT , Low ,$879.41,$6.89,$49.50,"$42,122.64","$1,573.17","$34,671.81","$26,120.65","$10,671.82",08/01/2015,7,September,2015
Midmarket,Canada, VTT , High ,"$2,010.90",$7.99,$35.04,"$32,926.93","$1,430.47","$25,829.00","$28,113.73","$28,677.37",02/01/2015,10,August,2013
Small Business,Germany, Carretera , Medium ,"$1,331.54",$4.36,$86.67,"$40,401.97","$1,060.06","$51,914.32","$16,540.05","$29,267.80",05/01/2015,1,April,2013
Small Business,Canada, Carretera , High ,$672.63,$5.42,$42.81,"$26,746.24",$-,"$48,226.28","$19,222.76","$9,667.84",07/01/2015,8,November,2015
Enterprise,United States of America, Carretera , High ,"$2,178.99",$1.60,$23.86,"$48,219.39",$-,"$20,062.23","$14,823.19","$15,387.84",01/01/2013,3,January,2015
Channel Partners,Canada, Carretera , Medium ,"$2,323.29",$6.33,$50.31,"$37,087.39","$2,027.76","$40,247.70","$13,017.02","$29,462.73",06/01/2014,4,September,2013
Small Business,United States of America, Paseo , High ,"$2,950.98",$9.34,$90.11,"$28,118.43","$3,029.01","$47,984.27","$6,674.57","$25,826.03",06/01/2013,5,June,2013
Channel Partners,Mexico, Amarilla , Low ,"$2,760.62",$6.32,$88.40,"$38,084.75","$1,779.38","$12,088.42","$24,724.37","$18,434.85",07/01/2014,6,July,2014
Small Business,Mexico, VTT , High ,"$2,715.36",$2.59,$37.51,"$31,330.54",$-,"$41,421.23","$27,799.94","$27,783.21",03/01/2015,4,April,2015
Enterprise,France, Paseo , Medium ,$855.27,$9.01,$72.38,"$30,646.77",$-,"$17,763.66","$29,432.12","$28,805.70",06/01/2015,8,May,2015
Enterprise,Germany, VTT , High ,"$2,161.53",$7.34,$71.35,"$45,690.31",$399.97,"$27,171.53","$9,698.79","$8,687.19",07/01/2013,3,July,2014
Small Business,Germany, Velo , Medium ,$985.38,$3.72,$30.03,"$48,724.47","$2,367.23","$42,616.55","$6,753.47","$11,695.87",04/01/2013,5,December,2013
Midmarket,France, VTT , Medium ,"$1,490.90",$6.50,$41.65,"$10,777.28",$-,"$49,988.71","$16,337.37","$28,841.99",02/01/2013,1,December,2013
Midmarket,Canada, Montana , None ,$903.79,$6.32,$42.04,"$28,409.19",$461.56,"$32,868.46","$23,290.62","$17,114.63",12/01/2013,11,October,2015
Small Business,Mexico, Velo , High ,$581.54,$5.90,$90.19,"$24,810.10",$-,"$13,713.23","$28,751.27","$20,782.37",07/01/2014,10,November,2015
Midmarket,Mexico, Velo , High ,"$2,609.98",$3.85,$54.36,"$43,114.36",$293.17,"$49,786.74","$7,768.27","$17,338.00",09/01/2014,3,September,2013
Channel Partners,Germany, Velo , None ,"$1,477.63",$5.39,$30.35,"$47,816.00","$4,576.01","$27,404.09","$22,172.72","$9,879.86",03/01/2013,4,June,2014
Channel Partners,Canada, Carretera , High ,"$1,675.59",$1.98,$49.10,"$40,219.47",$-,"$31,947.62","$6,732.60","$9,931.39",04/01/2015,11,January,2013
Midmarket,France, Carretera , Low ,"$1,479.66",$5.24,$79.87,"$26,503.68",$999.29,"$59,994.53","$13,298.37","$27,155.38",02/01/2015,9,April,2013
Government,Germany, Carretera , Medium ,"$1,746.21",$6.60,$38.64,"$58,058.03","$2,782.36","$30,536.45","$18,576.72","$14,394.88",09/01/2015,12,August,2013
Channel Partners,United States of America, Amarilla , Medium ,"$2,218.68",$9.29,$82.18,"$59,440.31",$-,"$14,258.54","$8,453.40","$13,714.24",08/01/2013,10,May,2015
Small Business,United States of America, Montana , Low ,"$2,584.28",$3.76,$83.26,"$49,140.16","$4,930.50","$49,202.72","$14,310.00","$26,697.01",03/01/2014,6,August,2015
Government,Germany, Velo , High ,"$1,000.01",$6.98,$45.15,"$44,544.01",$64.42,"$14,520.61","$14,868.10","$23,883.12",09/01/2014,2,February,2014
Enterprise,France, Velo , High ,"$1,655.70",$8.59,$61.32,"$32,386.14",$-,"$46,451.58","$25,233.74","$5,070.47",10/01/2013,3,March,2015
Midmarket,France, Montana , High ,"$2,406.51",$3.61,$38.33,"$20,710.23","$4,524.79","$59,863.43","$8,436.91","$17,281.09",09/01/2014,12,January,2015
Channel Partners,Mexico, Velo , Low ,$992.35,$2.35,$45.48,"$51,963.74",$67.40,"$48,930.44","$6,139.83","$1,019.27",12/01/2014,6,May,2015
Government,Mexico, Carretera , Medium ,$513.94,$8.02,$73.67,"$53,478.25","$2,066.93","$36,873.61","$5,678.98","$23,449.89",05/01/2014,5,October,2015
Channel Partners,Canada, Carretera , Medium ,"$2,055.91",$5.85,$20.70,"$13,292.19",$-,"$21,349.87","$19,505.49","$29,298.61",09/01/2015,2,January,2014
Small Business,France, Carretera , Medium ,"$1,702.67",$6.20,$35.71,"$45,931.38",$217.04,"$27,477.87","$21,888.38","$22,408.23",05/01/2013,7,September,2015
Channel Partners,Mexico, VTT , Low ,"$2,526.79",$8.40,$76.35,"$16,728.22",$41.84,"$26,438.84","$21,243.92","$27,337.54",09/01/2013,7,November,2014
Government,Germany, VTT , Medium ,$966.14,$2.56,$24.45,"$13,737.42","$4,806.57","$59,065.58","$16,792.86","$24,149.50",01/01/2013,12,April,2013
Small Business,Germany, VTT , Low ,"$1,260.89",$2.00,$71.48,"$11,680.72","$4,349.77","$14,226.05","$15,350.34","$27,586.28",05/01/2013,6,June,2013
Midmarket,France, Velo , Low ,$602.13,$2.26,$27.93,"$17,780.08",$-,"$33,012.48","$25,408.01","$23,869.49",08/01/2015,11,November,2014
Small Business,Germany, Paseo , High ,"$1,676.95",$8.10,$95.36,"$32,259.97",$-,"$11,303.98","$10,002.01","$28,581.97",11/01/2015,8,June,2013
Government,United States of America, Montana , None ,"$1,210.14",$6.44,$93.72,"$53,361.25","$2,024.60","$29,838.61","$24,364.19","$12,734.55",05/01/2015,2,March,2013
Midmarket,Mexico, Carretera , Medium ,$939.68,$1.95,$71.27,"$17,032.63","$3,802.91","$54,342.51","$13,879.04","$24,958.45",10/01/2013,4,August,2015
Midmarket,Germany, VTT , Low ,"$2,330.29",$8.53,$12.04,"$23,553.26",$-,"$58,003.44","$15,188.22","$28,546.74",06/01/2015,6,August,2013
Small Business,Germany, Amarilla , Low ,"$2,740.11",$1.44,$44.48,"$55,872.40",$-,"$36,837.41","$15,797.22","$7,588.76",03/01/2013,8,July,2015
Channel Partners,Mexico, Montana , Low ,"$1,425.77",$5.30,$55.44,"$53,451.04",$-,"$24,539.54","$7,184.73","$27,919.22",11/01/2014,8,September,2015
Government,Canada, Velo , High ,"$1,103.78",$7.62,$45.94,"$59,692.48",$-,"$18,322.69","$14,245.95","$14,177.10",06/01/2013,3,November,2013
Government,France, Carretera , Low ,$823.83,$4.07,$77.78,"$41,176.59",$-,"$57,090.29","$23,549.44","$29,063.24",06/01/2014,11,April,2014
Midmarket,Germany, Velo , Low ,"$2,236.12",$4.72,$29.22,"$47,058.47",$710.19,"$36,985.07","$20,953.55","$9,131.35",05/01/2015,11,November,2013
Midmarket,Mexico, Velo , None ,$664.97,$2.84,$57.92,"$15,013.40","$3,591.98","$20,046.18","$21,655.57","$7,411.38",12/01/2013,8,January,2014
Government,Mexico, Carretera , High ,$747.64,$6.98,$66.63,"$46,281.68","$1,037.80","$50,219.97","$9,229.06","$28,225.35",11/01/2014,8,March,2014
Midmarket,Germany, Montana , High ,"$2,982.25",$3.23,$96.39,"$52,998.53","$4,201.81","$47,254.42","$9,081.99","$12,307.07",06/01/2014,7,August,2014
Channel Partners,France, VTT , Medium ,"$2,900.70",$8.42,$38.82,"$48,427.13",$-,"$54,924.76","$15,862.29","$9,378.65",09/01/2015,5,November,2014
Small Business,United States of America, Velo , Low ,$708.95,$8.98,$14.51,"$27,097.94","$1,522.14","$11,373.45","$18,727.35","$11,128.14",12/01/2013,2,June,2014
Channel Partners,United States of America, Amarilla , None ,"$1,863.84",$2.44,$23.00,"$49,338.50",$-,"$53,795.36","$27,988.95","$15,468.79",10/01/2013,10,January,2015
Enterprise,United States of America, Montana , Low ,"$1,573.82",$9.85,$27.05,"$46,659.45",$726.00,"$25,074.92","$24,338.04","$28,852.05",07/01/2014,12,March,2013
Small Business,United States of America, VTT , None ,"$1,105.34",$2.34,$89.39,"$33,557.36","$3,249.90","$44,109.24","$26,370.48","$15,408.59",02/01/2015,11,November,2014
Small Business,France, VTT , Low ,"$2,523.26",$6.02,$13.01,"$49,647.44",$-,"$41,359.15","$16,788.52","$15,935.51",01/01/2014,9,March,2014
Channel Partners,Germany, VTT , None ,$864.04,$5.91,$53.99,"$26,453.91","$2,122.14","$57,962.64","$25,377.43","$19,448.66",03/01/2014,1,July,2014
Government,United States of America, Amarilla , None ,"$2,553.09",$2.25,$79.24,"$33,318.87","$1,688.61","$28,827.67","$10,570.66","$20,520.08",12/01/2015,7,May,2013
Midmarket,United States of America, Paseo , High ,"$1,608.73",$6.37,$45.71,"$26,405.24","$4,917.56","$12,893.18","$9,260.81","$8,138.33",10/01/2013,10,April,2014
Small Business,United States of America, Montana , Low ,"$1,922.90",$7.74,$85.15,"$58,429.60",$-,"$33,720.43","$13,416.42","$2,308.64",08/01/2015,6,August,2013
Small Business,Mexico, Velo , High ,"$2,153.14",$2.51,$20.23,"$12,503.33",$-,"$27,482.01","$22,896.04","$21,327.27",11/01/2014,3,March,2014
Channel Partners,France, Carretera , None ,"$1,843.59",$1.99,$73.83,"$57,935.38","$3,524.63","$11,401.46","$29,303.32","$12,821.56",07/01/2015,5,January,2013
Midmarket,Mexico, Paseo , None ,"$2,737.93",$3.33,$27.54,"$20,724.06",$-,"$38,212.38","$27,578.80","$3,607.39",03/01/2013,5,April,2015
Channel Partners,Germany, VTT , Low ,"$2,017.82",$7.67,$55.30,"$51,234.27","$2,419.10","$16,669.48","$21,331.30","$15,383.66",08/01/2013,2,September,2014
Government,Germany, Montana , Medium ,$721.03,$5.49,$47.05,"$49,717.17","$1,869.81","$47,171.40","$24,888.78","$26,286.79",12/01/2015,8,October,2014
Channel Partners,Germany, Paseo , None ,"$2,198.68",$2.21,$46.20,"$17,260.10",$-,"$25,329.16","$26,803.23","$4,430.47",09/01/2015,11,August,2015
Small Business,Mexico, Carretera , Medium ,"$1,495.54",$1.62,$52.87,"$54,285.09","$3,961.77","$28,437.30","$18,795.06","$21,053.32",02/01/2013,8,July,2014
Small Business,Germany, Montana , None ,"$1,245.39",$5.01,$78.27,"$26,304.18",$-,"$37,085.21","$23,865.67","$27,339.14",09/01/2013,6,May,2013
Channel Partners,France, Montana , Medium ,$908.30,$6.84,$10.45,"$24,535.44",$-,"$46,216.55","$18,885.72","$21,847.26",11/01/2015,10,August,2015
Government,Mexico, VTT , Medium ,$933.41,$1.58,$41.30,"$49,141.22",$-,"$30,067.40","$13,943.84","$17,827.57",06/01/2015,9,September,2015
Government,Mexico, Carretera , High ,"$1,772.89",$9.67,$57.33,"$55,328.70","$2,882.67","$11,862.82","$5,764.94","$18,805.36",12/01/2014,3,September,2014
Midmarket,Canada, Paseo , Medium ,"$1,796.15",$6.74,$72.71,"$13,376.45","$1,174.30","$14,244.55","$20,609.14","$25,225.15",09/01/2013,6,February,2015
Enterprise,France, Amarilla , High ,$811.86,$7.03,$94.23,"$31,632.16",$-,"$18,620.67","$6,764.73","$12,351.49",04/01/2013,3,January,2014
Channel Partners,France, Velo , Medium ,"$1,414.76",$4.39,$30.62,"$44,132.04",$-,"$52,215.49","$13,798.46","$6,097.22",08/01/2015,10,December,2013
Small Business,Mexico, Carretera , High ,"$2,537.26",$4.84,$21.94,"$52,725.18",$-,"$24,198.80","$15,554.02","$12,384.61",04/01/2014,10,November,2015
Midmarket,France, Amarilla , Low ,"$1,047.06",$9.35,$49.73,"$13,461.51","$3,892.35","$21,851.27","$27,540.67","$15,393.20",03/01/2014,9,April,2015
Enterprise,Mexico, Montana , None ,$954.23,$2.19,$17.60,"$10,050.30",$-,"$20,795.91","$5,212.40","$22,915.09",10/01/2013,1,April,2015
Small Business,Canada, Paseo , High ,"$2,512.89",$7.40,$46.87,"$22,208.81",$940.82,"$57,566.00","$16,867.25","$22,648.48",01/01/2013,10,July,2015
Channel Partners,Canada, VTT , High ,"$1,072.49",$6.25,$98.25,"$27,473.12",$-,"$30,860.61","$29,645.82","$1,290.83",05/01/2013,2,November,2014
Small Business,Germany, Velo , Low ,"$1,031.13",$2.79,$58.87,"$23,569.95",$-,"$26,145.84","$5,452.51","$19,161.29",05/01/2015,3,April,2013
Small Business,France, Paseo , High ,"$2,429.64",$3.39,$43.56,"$30,350.12",$-,"$48,892.81","$17,365.54","$15,475.03",03/01/2015,3,October,2014
Small Business,United States of America, Amarilla , High ,"$1,859.50",$2.00,$31.34,"$48,446.86",$-,"$46,741.48","$19,609.87","$29,018.38",04/01/2014,1,January,2013
Channel Partners,Mexico, Paseo , High ,$824.41,$5.20,$82.84,"$12,212.73","$1,333.56","$25,047.55","$18,658.00","$24,230.45",05/01/2015,8,March,2015
Government,United States of America, Paseo , None ,"$2,834.73",$8.60,$63.25,"$24,453.49","$4,716.24","$56,646.45","$24,728.18","$11,482.73",03/01/2014,1,April,2014
Midmarket,United States of America, Carretera , High ,$695.34,$3.84,$48.44,"$26,272.83",$-,"$25,381.15","$27,801.56","$14,412.62",03/01/2015,4,August,2013
Channel Partners,Germany, VTT , Low ,"$1,986.96",$2.81,$82.27,"$43,800.21","$3,692.69","$29,317.86","$6,479.64","$3,545.17",03/01/2014,6,February,2014
Channel Partners,France, Amarilla , High ,"$1,397.19",$4.60,$19.66,"$56,122.93",$40.35,"$37,418.81","$17,683.24","$16,884.66",07/01/2014,9,December,2013
Government,United States of America, VTT , Low ,"$2,190.62",$4.07,$93.01,"$15,352.48",$-,"$31,897.69","$20,577.51","$14,415.84",12/01/2015,7,March,2013
Midmarket,Germany, Amarilla , Low ,"$1,937.37",$7.00,$31.42,"$51,353.29",$-,"$38,034.88","$16,584.56","$5,247.88",11/01/2014,4,March,2014
Midmarket,Mexico, Montana , None ,"$2,163.98",$7.42,$42.13,"$18,921.12",$-,"$14,949.97","$23,553.11","$11,238.89",03/01/2015,12,June,2014
Midmarket,France, Velo , None ,"$2,729.78",$4.82,$30.00,"$34,716.34",$529.31,"$33,337.55","$29,414.03","$16,902.11",01/01/2013,11,April,2013
Enterprise,France, Carretera , High ,"$1,330.64",$7.68,$55.99,"$17,267.46","$2,067.93","$14,355.73","$15,461.93","$11,433.94",04/01/2013,3,October,2014
Midmarket,Germany, Montana , High ,"$2,936.93",$1.98,$41.38,"$46,725.31",$941.88,"$21,931.87","$13,018.86","$10,288.22",02/01/2014,5,July,2014
Government,United States of America, Montana , Medium ,$836.08,$1.63,$19.30,"$50,530.52","$4,586.34","$17,326.34","$11,293.33","$24,902.41",02/01/2014,12,March,2013
Enterprise,Germany, Montana , High ,"$2,067.94",$1.75,$85.90,"$27,079.48",$-,"$27,154.96","$27,230.42","$16,704.78",05/01/2014,7,April,2015
Midmarket,Canada, Velo , Medium ,"$1,613.88",$5.79,$84.64,"$48,958.93",$-,"$50,163.61","$29,234.05","$22,688.72",07/01/2015,8,March,2013
Enterprise,Mexico, VTT , Low ,"$2,922.89",$8.96,$23.85,"$20,084.56","$1,959.66","$36,513.30","$21,043.72","$19,806.04",09/01/2015,1,August,2015
Enterprise,France, Montana , Medium ,"$2,241.01",$9.50,$52.77,"$45,192.14","$2,313.10","$42,105.40","$20,521.95","$2,215.00",06/01/2015,2,August,2014
Enterprise,France, Amarilla , Low ,$852.42,$8.02,$62.67,"$36,362.18",$-,"$15,496.00","$22,154.95","$18,322.18",11/01/2014,3,August,2013
Small Business,Canada, Paseo , Medium ,"$1,650.71",$9.54,$15.69,"$35,027.40",$-,"$47,137.95","$23,800.07","$14,294.38",02/01/2015,3,June,2013
Small Business,Canada, VTT , High ,$693.44,$3.77,$87.79,"$48,892.40","$4,617.14","$35,970.10","$21,966.05","$12,387.70",02/01/2015,7,November,2014
Government,Mexico, Amarilla , Low ,"$1,521.49",$1.68,$52.92,"$53,821.99","$2,882.33","$38,982.69","$5,653.10","$11,459.70",04/01/2013,8,October,2014
Small Business,United States of America, Amarilla , High ,"$1,611.76",$6.94,$34.88,"$34,221.61",$-,"$13,982.46","$15,479.77","$25,381.45",06/01/2015,9,March,2013
Small Business,Germany, VTT , Medium ,"$1,594.27",$1.70,$35.89,"$42,816.46","$4,513.68","$34,925.03","$7,189.10","$29,126.47",12/01/2015,10,November,2013
Channel Partners,United States of America, Velo , High ,"$1,937.25",$9.97,$76.46,"$37,791.27","$4,793.51","$33,693.81","$22,176.32","$3,937.18",08/01/2013,12,December,2015
Enterprise,Mexico, Paseo , Low ,"$2,613.61",$2.05,$65.76,"$16,891.22",$994.99,"$59,668.15","$18,195.23","$23,024.05",11/01/2015,8,November,2014
Midmarket,United States of America, Paseo , Medium ,"$2,713.68",$8.61,$37.62,"$10,907.71",$-,"$25,836.97","$8,195.56","$3,737.93",06/01/2013,1,October,2014
Enterprise,France, Amarilla , High ,"$2,558.34",$2.85,$76.34,"$41,971.28",$434.82,"$49,750.87","$21,833.69","$20,710.24",09/01/2015,3,February,2015
Enterprise,France, VTT , Medium ,"$1,303.17",$5.87,$95.10,"$45,620.06",$-,"$41,184.05","$26,123.45","$22,895.14",01/01/2014,5,February,2015
Midmarket,Germany, VTT , Low ,"$1,985.07",$7.02,$80.31,"$51,728.77",$-,"$56,489.27","$20,044.02","$3,434.31",05/01/2015,9,July,2014
Midmarket,Mexico, VTT , High ,"$2,882.62",$9.06,$33.31,"$48,907.07","$1,722.50","$23,281.76","$16,951.18","$16,722.05",10/01/2015,11,August,2013
Midmarket,France, VTT , Medium ,"$1,679.29",$4.84,$93.34,"$23,765.26","$2,444.51","$30,531.90","$13,799.25","$25,561.20",03/01/2015,3,November,2013
Enterprise,Germany, Velo , High ,$805.09,$9.09,$75.38,"$17,896.41",$-,"$48,955.32","$11,836.15","$17,004.76",12/01/2015,10,November,2015
Midmarket,Germany, VTT , High ,"$1,666.76",$6.78,$59.25,"$15,539.64","$2,502.27","$59,082.12","$15,427.34","$29,729.04",04/01/2014,3,January,2013
Enterprise,United States of America, Montana , Medium ,$503.88,$7.97,$22.60,"$24,676.66","$2,749.72","$43,376.77","$21,650.02","$2,838.32",03/01/2015,1,July,2013
Channel Partners,Mexico, Montana , High ,"$1,657.19",$5.13,$53.04,"$42,483.76",$-,"$11,234.70","$15,492.06","$7,141.67",09/01/2014,5,January,2013
Midmarket,United States of America, Montana , None ,"$2,014.20",$5.73,$58.28,"$52,882.40","$2,008.04","$52,719.32","$18,263.63","$27,984.09",09/01/2014,11,May,2014
Channel Partners,United States of America, Montana , None ,"$1,473.57",$8.84,$72.59,"$28,423.77","$2,958.42","$54,980.92","$29,213.85","$29,688.06",07/01/2014,1,November,2013
Government,Mexico, Paseo , High ,"$2,245.73",$1.24,$76.51,"$40,924.14","$3,248.20","$27,592.84","$24,274.83","$9,847.65",03/01/2014,8,September,2014
Government,France, Velo , None ,"$1,226.14",$5.23,$14.56,"$35,835.05",$-,"$43,853.42","$16,231.76","$1,339.20",09/01/2015,11,May,2015
Small Business,Germany, Montana , Low ,"$2,859.05",$3.36,$96.48,"$12,973.69",$-,"$54,926.52","$24,438.99","$19,260.25",08/01/2014,11,December,2014
Government,United States of America, Montana , High ,"$2,542.91",$2.42,$62.28,"$31,574.58",$-,"$41,740.94","$5,703.27","$8,000.89",05/01/2014,12,February,2015
Enterprise,Canada, Velo , Medium ,$584.34,$3.85,$60.59,"$30,167.30",$-,"$18,273.84","$29,310.91","$4,312.86",04/01/2014,1,November,2013
Government,Germany, Velo , Medium ,"$2,075.45",$7.16,$43.22,"$46,962.95","$4,791.05","$23,038.58","$22,855.39","$7,676.20",10/01/2014,1,November,2013
Midmarket,Mexico, VTT , Low ,$699.69,$1.70,$93.23,"$18,334.31",$-,"$28,769.49","$5,077.26","$1,260.31",06/01/2014,5,April,2014
Enterprise,United States of America, Carretera , None ,"$2,083.11",$9.39,$42.42,"$18,582.25","$3,967.16","$10,794.55","$18,136.33","$19,862.32",12/01/2015,10,December,2015
Midmarket,France, VTT , None ,$894.57,$9.90,$79.47,"$32,636.79","$2,601.36","$36,220.70","$23,785.97","$24,341.79",03/01/2013,5,November,2013
Midmarket,Canada, VTT , High ,"$1,736.97",$3.57,$66.96,"$51,771.53","$1,059.87","$16,522.95","$10,581.77","$23,200.44",11/01/2015,9,October,2013
Channel Partners,Mexico, Carretera , Medium ,"$2,253.57",$5.20,$12.55,"$32,333.69",$-,"$28,940.76","$15,425.12","$24,701.24",10/01/2013,7,May,2014
Enterprise,Mexico, Montana , None ,"$1,750.61",$7.17,$71.83,"$50,119.41",$243.82,"$37,513.00","$17,330.44","$4,622.69",06/01/2015,5,October,2015
Government,United States of America, Amarilla , Medium ,"$1,781.77",$1.76,$32.80,"$20,849.80",$-,"$59,816.01","$13,714.01","$5,389.80",07/01/2014,12,March,2014
Midmarket,Mexico, VTT , High ,"$2,057.23",$8.56,$27.51,"$49,920.91",$679.34,"$24,098.48","$13,951.68","$17,522.52",05/01/2013,4,May,2013
Government,Mexico, Paseo , Medium ,$715.14,$5.40,$41.70,"$33,355.12",$-,"$33,306.02","$12,006.13","$11,610.74",07/01/2015,11,June,2014
Enterprise,United States of America, Carretera , None ,"$2,392.47",$8.91,$77.90,"$34,121.72","$1,896.00","$20,413.82","$9,514.54","$1,359.87",08/01/2015,10,March,2015
Midmarket,France, Velo , None ,$507.68,$5.87,$16.63,"$47,642.23",$-,"$14,190.88","$8,989.65","$27,641.67",12/01/2014,5,June,2015
Channel Partners,United States of America, Amarilla , Low ,"$2,789.08",$1.16,$23.72,"$58,444.83",$935.20,"$37,490.81","$13,782.27","$17,644.09",05/01/2014,10,September,2014
Enterprise,Canada, Amarilla , None ,"$2,927.60",$4.65,$40.94,"$52,610.49","$2,092.84","$53,244.15","$25,617.72","$13,505.72",02/01/2014,10,November,2013
Government,France, Paseo , None ,"$2,620.91",$2.63,$90.60,"$48,902.16","$2,521.07","$30,844.07","$29,418.92","$9,027.19",12/01/2015,11,April,2015
Channel Partners,France, Montana , None ,"$2,403.25",$9.22,$62.23,"$30,130.01","$3,326.53","$23,537.54","$25,329.62","$11,321.95",07/01/2013,11,February,2015
Enterprise,Mexico, Carretera , Low ,"$2,399.83",$9.37,$69.72,"$31,492.01",$-,"$17,841.17","$16,167.19","$22,036.42",01/01/2014,12,December,2015
Channel Partners,Canada, Amarilla , None ,"$2,582.81",$2.55,$48.52,"$36,889.01",$-,"$55,920.45","$5,797.62","$26,964.55",11/01/2014,9,March,2015
Midmarket,Canada, Amarilla , Medium ,"$2,477.52",$3.71,$11.38,"$45,301.71",$-,"$17,932.77","$26,698.37","$25,919.17",10/01/2014,11,March,2015
Midmarket,Germany, Amarilla , High ,"$2,132.80",$5.05,$76.84,"$40,794.53",$-,"$22,204.73","$18,632.26","$8,594.64",01/01/2015,6,April,2015
Government,Germany, Paseo , Low ,"$1,572.96",$8.40,$59.48,"$49,107.97",$-,"$40,854.96","$8,706.46","$24,257.20",01/01/2014,11,October,2014
Enterprise,Germany, Amarilla , Medium ,"$1,877.80",$9.06,$54.38,"$54,227.87",$-,"$55,892.09","$15,237.89","$3,016.83",12/01/2014,11,December,2014
Enterprise,Mexico, Paseo , None ,"$1,526.54",$9.70,$64.64,"$47,697.10",$-,"$48,176.77","$14,240.63","$29,781.23",01/01/2014,8,January,2015
Midmarket,United States of America, Montana , High ,"$1,590.57",$1.80,$95.25,"$13,245.59",$-,"$48,638.51","$11,753.43","$19,167.42",08/01/2013,5,April,2014
Enterprise,Germany, Montana , Medium ,"$1,923.65",$7.24,$20.36,"$50,769.96","$3,175.56","$34,971.39","$22,352.42","$27,663.60",04/01/2015,7,June,2013
Government,Germany, Amarilla , High ,"$1,120.42",$3.59,$49.98,"$49,487.71",$-,"$19,999.48","$21,076.04","$10,315.63",03/01/2013,11,July,2015
Enterprise,Germany, VTT , High ,"$1,373.69",$9.67,$55.05,"$42,006.60","$3,268.85","$47,486.21","$24,187.74","$7,434.03",05/01/2013,4,October,2014
Small Business,Mexico, Amarilla , High ,"$1,433.60",$7.80,$97.38,"$34,308.20","$1,781.86","$42,607.73","$23,356.54","$18,036.28",12/01/2014,2,August,2015
Small Business,Canada, Carretera , High ,"$2,937.32",$6.67,$81.88,"$12,114.14",$-,"$50,254.36","$19,598.86","$26,483.38",10/01/2013,8,June,2014
Enterprise,Germany, Amarilla , High ,"$1,880.45",$7.68,$46.40,"$53,272.62",$675.66,"$38,574.66","$15,917.33","$2,991.48",10/01/2014,6,September,2013
Midmarket,France, Carretera , None ,"$1,876.35",$3.50,$87.81,"$26,696.10",$-,"$18,893.26","$13,982.39","$25,220.17",11/01/2013,4,April,2013
Enterprise,Germany, Carretera , Medium ,$723.28,$9.09,$38.62,"$14,771.23",$-,"$43,945.02","$6,037.11","$14,677.34",08/01/2015,4,October,2015
Small Business,Mexico, Amarilla , Low ,"$1,010.33",$3.56,$81.52,"$16,401.94","$1,675.61","$14,077.88","$17,951.54","$25,918.77",09/01/2015,3,September,2015
Channel Partners,Canada, Montana , Low ,$984.06,$2.99,$11.76,"$32,029.67",$-,"$50,501.92","$17,832.29","$19,658.02",01/01/2015,7,June,2014
Midmarket,Canada, Amarilla , Medium ,$939.01,$9.21,$16.30,"$56,764.25",$-,"$45,347.78","$5,764.91","$22,314.84",01/01/2013,11,September,2013
Enterprise,United States of America, Amarilla , Medium ,"$1,068.40",$2.36,$67.42,"$54,782.76","$1,786.87","$56,757.82","$19,315.40","$5,016.32",04/01/2015,9,May,2014
Enterprise,Canada, Paseo , High ,"$1,165.92",$2.51,$78.26,"$42,770.62","$3,842.67","$53,542.06","$17,844.58","$3,018.85",06/01/2014,12,March,2014
Enterprise,Canada, Amarilla , Medium ,"$1,396.29",$1.49,$55.21,"$30,837.55",$-,"$46,450.48","$27,870.51","$28,909.82",11/01/2015,11,November,2014
Small Business,Canada, Carretera , Medium ,"$1,164.67",$7.98,$33.64,"$54,012.70",$353.38,"$50,835.61","$29,454.87","$26,967.75",11/01/2014,3,September,2014
Government,Germany, Carretera , Low ,"$2,505.36",$7.58,$83.02,"$20,110.90",$-,"$26,078.13","$15,834.95","$27,527.87",04/01/2013,3,October,2015
Government,United States of America, Paseo , High ,$634.17,$8.19,$89.91,"$55,533.10","$4,703.21","$45,150.30","$16,563.29","$11,032.43",07/01/2014,12,January,2014
Channel Partners,Mexico, Paseo , High ,"$1,185.20",$2.60,$68.52,"$41,088.41","$2,235.02","$32,885.51","$11,952.83","$10,101.88",11/01/2013,12,July,2013
Government,France, Carretera , Low ,"$2,545.62",$7.08,$90.17,"$15,200.52","$1,423.59","$13,760.01","$20,192.67","$8,589.42",02/01/2015,9,February,2014
Midmarket,Mexico, VTT , Low ,"$2,790.04",$4.18,$12.54,"$10,218.98",$-,"$48,068.72","$23,402.96","$12,717.62",11/01/2014,3,June,2013
Channel Partners,Canada, Carretera , High ,"$1,966.29",$6.12,$73.02,"$14,937.10",$-,"$57,412.21","$23,149.07","$27,354.08",11/01/2014,9,July,2013
Government,Canada, Carretera , Medium ,"$1,500.55",$7.00,$23.89,"$33,266.41","$1,566.06","$23,370.90","$12,885.13","$9,292.39",02/01/2015,11,May,2014
